#OIII_Hb SII_Ha NII_Ha_both V
0.424637 -0.0372321 -0.113153 350.0
0.493556 -0.0101192 -0.0745152 375.0
0.569468 0.000265038 -0.049495 400.0
0.642118 0.0112799 -0.0290223 425.0
0.73241 0.0118174 -0.0182821 450.0
0.803682 0.0157215 -0.00967396 475.0
0.864428 0.0216281 0.00200591 500.0
0.908866 0.0165239 0.0034707 525.0
0.961236 0.0122572 0.00318546 550.0
1.00178 0.00740364 0.00177777 575.0
1.02317 0.00613859 0.00248355 600.0
1.03977 0.00447897 0.000325691 625.0
1.05115 0.0077042 0.000679231 650.0
1.05507 0.0122914 0.0016493 675.0
1.05903 0.0163244 0.00566508 700.0
1.05918 0.0224845 0.00627878 725.0
1.05907 0.0304386 0.0095099 750.0
1.05805 0.035537 0.0108539 775.0
1.05922 0.0395639 0.012006 800.0
1.05706 0.0436291 0.0127489 825.0
1.05131 0.0499198 0.0188701 850.0
1.04246 0.0533821 0.0232267 875.0
1.03298 0.0591399 0.0265699 900.0
1.03547 0.0576599 0.0239544 925.0
1.0308 0.0608345 0.0248292 950.0
1.02469 0.0644361 0.0256037 975.0
1.01899 0.0673755 0.0262831 1000.0
0.397627 -0.50854 -0.459345 100.0
0.255948 -0.586841 -0.529501 125.0
0.0518083 -0.647241 -0.614336 150.0
-0.048177 -0.609058 -0.610877 175.0
-0.0309897 -0.477534 -0.491627 200.0
0.0708134 -0.399597 -0.387564 225.0
0.173274 -0.327489 -0.320022 250.0
0.339372 -0.241962 -0.256745 275.0
0.370384 -0.146646 -0.162194 300.0
0.419923 -0.0947838 -0.111454 325.0
0.434713 -0.0631348 -0.0708419 350.0
0.505245 -0.0442016 -0.0378821 375.0
0.58187 -0.0397284 -0.0175869 400.0
0.654282 -0.035253 -0.00168963 425.0
0.742969 -0.0372933 0.00844316 450.0
0.8113 -0.0354958 0.0146057 475.0
0.871129 -0.0330375 0.0234278 500.0
0.913565 -0.0407457 0.0224929 525.0
0.963325 -0.0430811 0.0204627 550.0
1.0026 -0.0439102 0.0179892 575.0
1.02309 -0.0419458 0.0191202 600.0
1.03771 -0.0389495 0.0161196 625.0
1.04743 -0.0321631 0.0183265 650.0
1.04961 -0.0250707 0.0198757 675.0
1.05438 -0.0223043 0.02299 700.0
1.05342 -0.0153181 0.0232152 725.0
1.05354 -0.00649535 0.0265289 750.0
1.05308 0.000847775 0.0293043 775.0
1.05319 0.00483644 0.0297587 800.0
1.05173 0.0110817 0.0312528 825.0
1.04653 0.0186398 0.0370204 850.0
1.03786 0.0210523 0.0414085 875.0
1.02825 0.0280795 0.04482 900.0
1.03104 0.0296465 0.0429773 925.0
1.02592 0.03484 0.0448254 950.0
1.01991 0.0407165 0.0454471 975.0
1.0141 0.0456869 0.0466067 1000.0
0.386499 -0.51634 -0.464038 100.0
0.248268 -0.582296 -0.525486 125.0
0.0513069 -0.619007 -0.589662 150.0
-0.044572 -0.578058 -0.580575 175.0
-0.0297694 -0.458891 -0.462391 200.0
0.072948 -0.394003 -0.358777 225.0
0.175396 -0.329053 -0.293137 250.0
0.340067 -0.244527 -0.229439 275.0
0.37418 -0.157436 -0.139973 300.0
0.425811 -0.109753 -0.091989 325.0
0.444342 -0.081706 -0.0547289 350.0
0.514933 -0.0676412 -0.0263188 375.0
0.591499 -0.065085 -0.00752804 400.0
0.663918 -0.0632293 0.00675319 425.0
0.750177 -0.06664 0.0157784 450.0
0.817658 -0.0655258 0.0213947 475.0
0.876933 -0.0637976 0.0286414 500.0
0.917967 -0.0710233 0.0273912 525.0
0.967047 -0.0694279 0.0254794 550.0
1.00587 -0.0672411 0.0228294 575.0
1.02514 -0.0639569 0.0230809 600.0
1.0389 -0.0580173 0.020741 625.0
1.04782 -0.0504429 0.022979 650.0
1.04591 -0.0442137 0.0240521 675.0
1.05427 -0.0394812 0.0273896 700.0
1.05404 -0.0301362 0.0289495 725.0
1.05396 -0.0207846 0.0320288 750.0
1.0535 -0.0122332 0.0351365 775.0
